A
00:00:03.280	00:00:03.679	so,
00:00:03.679	00:00:04.630	ann.
A
00:00:04.640	00:00:04.880	how
00:00:04.880	00:00:05.040	did
00:00:05.040	00:00:05.200	your
00:00:05.200	00:00:05.520	meeting
00:00:05.520	00:00:05.759	with
00:00:05.759	00:00:06.080	mr.
00:00:06.080	00:00:06.640	stevens
00:00:06.640	00:00:06.789	and
00:00:06.799	00:00:06.879	the
00:00:06.879	00:00:07.440	montex
00:00:07.440	00:00:08.080	representative
00:00:08.080	00:00:09.270	go?
B
00:00:09.280	00:00:10.559	quite…
B
00:00:10.559	00:00:10.800	quite
00:00:10.800	00:00:11.759	well,
00:00:11.759	00:00:12.080	actually
00:00:12.080	00:00:12.160	it
00:00:12.160	00:00:12.400	was
00:00:12.400	00:00:12.629	very
00:00:12.639	00:00:13.360	interesting!
A
00:00:13.360	00:00:13.519	did
00:00:13.519	00:00:13.679	they
00:00:13.679	00:00:13.840	come
00:00:13.840	00:00:14.080	to
00:00:14.080	00:00:14.320	any
00:00:14.320	00:00:15.759	agreement?
B
00:00:15.759	00:00:15.920	for
00:00:15.920	00:00:16.070	the
00:00:16.080	00:00:17.279	moment,
00:00:17.279	00:00:18.000	montrax
00:00:18.000	00:00:18.160	is
00:00:18.160	00:00:18.400	going
00:00:18.400	00:00:18.560	to
00:00:18.560	00:00:19.119	print
00:00:19.119	00:00:19.520	3000#three thousand
00:00:19.840	00:00:20.550	copies
00:00:20.560	00:00:20.720	of
00:00:20.720	00:00:20.880	our
00:00:20.880	00:00:21.119	next
00:00:21.119	00:00:21.520	series
00:00:21.520	00:00:21.680	of
00:00:21.680	00:00:22.880	cookbooks.
B
00:00:22.880	00:00:23.189	mr.
00:00:23.199	00:00:23.680	stevens
00:00:23.680	00:00:23.920	wants
00:00:23.920	00:00:24.000	to
00:00:24.000	00:00:24.160	give
00:00:24.160	00:00:24.400	them
00:00:24.400	00:00:25.109	a
00:00:25.119	00:00:25.279	a
00:00:25.279	00:00:25.680	trial
00:00:25.680	00:00:26.240	run
00:00:26.240	00:00:26.400	and
00:00:26.400	00:00:26.560	see
00:00:26.560	00:00:26.720	how
00:00:26.720	00:00:26.960	they
00:00:26.960	00:00:28.150	work.
B
00:00:28.160	00:00:28.720	if
00:00:28.720	00:00:28.880	they
00:00:28.880	00:00:29.119	meet
00:00:29.119	00:00:29.279	their
00:00:29.279	00:00:30.560	deadlines
00:00:30.560	00:00:30.960	and
00:00:30.960	00:00:31.429	price
00:00:31.439	00:00:32.880	competitively.
B
00:00:32.880	00:00:33.120	he'll
00:00:33.120	00:00:33.440	sign
00:00:33.440	00:00:33.680	on
00:00:33.680	00:00:34.239	for
00:00:34.239	00:00:34.389	for
00:00:34.399	00:00:34.800	larger
00:00:34.800	00:00:35.200	deals
00:00:35.200	00:00:35.280	in
00:00:35.280	00:00:35.440	the
00:00:35.440	00:00:36.709	future.
A
